Player,Team,InterceptionsInt,InterceptionsYds,InterceptionsTD,InterceptionsLng,InterceptionsPD,Sack,TacklesComb,TacklesSolo,TacklesAst,TacklesTFL,TacklesQBHits,FumblesFR,FumblesYds,FumblesTD,FumblesFF
Troy Reeder,LAR,0,0,0,0,1,0.0,13,3,10,0,0,0,0,0,0
John Johnson,LAR,0,0,0,0,1,0.0,9,8,1,0,0,0,0,0,0
Michael Brockers,LAR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Sebastian Joseph,LAR,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Jordan Fuller,LAR,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Nick Scott,LAR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Justin Hollins,LAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jalen Ramsey,LAR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Kenny Young,LAR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Leonard Floyd,LAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Darious Williams,LAR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Greg Gaines,LAR,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Troy Hill,LAR,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
A'Shawn Robinson,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
Aaron Donald,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Samson Ebukam,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Morgan Fox,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Johnny Mundt,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
J.R. Reed,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nsimba Webster,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ogbonnia Okoronkwo,LAR,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,1.5,3,1,2,1,2,0,0,0,0
Rashan Gary,GNB,0,0,0,0,0,1.5,3,2,1,1,3,0,0,0,0
Za'Darius Smith,GNB,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Krys Barnes,GNB,0,0,0,0,1,0.0,10,7,3,0,0,0,0,0,0
Kevin King,GNB,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Chandon Sullivan,GNB,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Adrian Amos,GNB,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Henry Black,GNB,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Preston Smith,GNB,0,0,0,0,2,0.0,3,2,1,0,1,0,0,0,0
Christian Kirksey,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Brian Price,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Darnell Savage Jr.,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jaire Alexander,GNB,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Oren Burks,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dominique Dafney,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tyler Lancaster,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Vernon Scott,GNB,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Aaron Rodgers,GNB,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
Matt Judon,BAL,0,0,0,0,0,1.0,3,2,1,0,1,0,0,0,1
Pernell McPhee,BAL,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
DeShon Elliott,BAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
L.J. Fort,BAL,0,0,0,0,0,0.0,5,4,1,1,1,0,0,0,0
Marcus Peters,BAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Jimmy Smith,BAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Chuck Clark,BAL,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Brandon Williams,BAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Tramon Williams,BAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Calais Campbell,BAL,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
Marlon Humphrey,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Patrick Queen,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Anthony Averett,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyus Bowser,BAL,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0
Malik Harrison,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Justin Madubuike,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kristian Welch,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Derek Wolfe,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyler Huntley,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Lamar Jackson,BAL,0,0,0,0,0,0.0,0,0,0,0,0,3,0,0,0
Matt Skura,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Taron Johnson,BUF,1,101,1,101,1,0.0,6,6,0,1,0,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,0,2.0,3,2,1,2,2,0,0,0,0
Levi Wallace,BUF,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
Mario Addison,BUF,0,0,0,0,0,1.0,2,1,1,0,1,0,0,0,1
Tremaine Edmunds,BUF,0,0,0,0,1,0.0,9,6,3,0,2,0,0,0,0
Micah Hyde,BUF,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Matt Milano,BUF,0,0,0,0,2,0.0,7,6,1,0,0,0,0,0,0
Tre'Davious White,BUF,0,0,0,0,1,0.0,6,5,1,1,0,0,0,0,0
Harrison Phillips,BUF,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
A.J. Klein,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Josh Norman,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Ed Oliver,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Vernon Butler,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
A.J. Epenesa,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Trent Murphy,BUF,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Justin Zimmer,BUF,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Dion Dawkins,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Karl Joseph,CLE,1,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Myles Garrett,CLE,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Terrance Mitchell,CLE,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
B.J. Goodson,CLE,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
